iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,PL,539,5,150,6,12,118,10,21,17,55,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0469644,0.0194064,2.42005
10,PL,576,6,177,12,17,130,20,18,18,57,40,87,317,8,72,11,7,57,6,11,9,25,12,107,0.045759,0.0451126,1.01433
20,PL,649,7,184,11,19,137,17,30,30,60,59,102,0,0,0,0,0,0,0,0,0,0,0,0,0.0446105,0.0222603,2.00404
30,PL,707,8,205,25,14,154,20,20,35,56,49,129,108,7,24,3,2,23,4,4,6,3,2,37,0.0453537,0.0407906,1.11186
40,PL,605,7,176,19,16,127,8,18,23,62,46,110,0,0,0,0,0,0,0,0,0,0,0,0,0.0465655,0.0238726,1.95058
50,PL,760,7,224,20,21,156,17,20,21,78,69,134,0,0,0,0,0,0,0,0,0,0,0,0,0.0456649,0.0251865,1.81307
60,PL,507,7,172,12,7,104,17,13,24,52,36,70,465,7,117,11,8,97,5,17,15,39,31,125,0.0450294,0.0395877,1.13746
70,PL,665,6,188,16,17,146,21,25,33,67,52,100,179,6,21,5,3,39,4,7,10,6,8,76,0.0465757,0.0367297,1.26806
80,PL,598,7,167,23,14,138,4,16,24,51,55,106,0,0,0,0,0,0,0,0,0,0,0,0,0.0454482,0.0238118,1.90864
90,PL,712,9,208,18,18,153,25,21,26,68,46,129,83,5,24,2,1,15,0,5,4,3,0,29,0.0470465,0.0388512,1.21094
100,PL,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355912,0.00600135,5.93053
110,PL,661,6,187,14,9,133,19,24,29,69,61,116,0,0,0,0,0,0,0,0,0,0,0,0,0.0451938,0.0233201,1.93797
120,PL,599,5,182,22,20,114,15,12,20,74,51,89,233,6,53,5,7,42,13,7,14,17,12,63,0.0462453,0.0335258,1.37939
130,PL,645,7,182,15,14,148,7,15,21,76,52,115,171,6,38,7,5,34,0,6,3,15,16,47,0.0444371,0.038631,1.15029
140,PL,642,6,180,9,14,143,16,11,17,79,60,113,148,5,31,3,6,26,2,7,8,10,8,47,0.0454729,0.0339984,1.3375
