iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,PL,759,4,234,24,12,115,45,29,8,108,99,85,0,0,0,0,0,0,0,0,0,0,0,0,0.114662,0.0199513,5.74711
10,PL,692,5,203,19,9,130,49,21,8,111,82,60,0,0,0,0,0,0,0,0,0,0,0,0,0.113642,0.0189005,6.01265
20,PL,516,7,147,11,9,95,35,8,3,98,57,53,0,0,0,0,0,0,0,0,0,0,0,0,0.110547,0.01954,5.65748
30,PL,714,7,210,15,16,115,50,23,6,103,81,95,233,5,66,8,1,48,9,9,1,27,25,39,0.112706,0.036886,3.05552
40,PL,566,4,162,18,16,94,42,17,6,82,76,53,0,0,0,0,0,0,0,0,0,0,0,0,0.112865,0.0186065,6.06588
50,PL,690,7,213,25,12,131,37,19,5,102,77,69,275,5,81,8,6,39,15,8,1,42,30,45,0.112715,0.0393574,2.86389
60,PL,634,3,201,23,10,111,50,22,5,97,67,48,278,5,69,13,5,45,19,5,0,41,40,41,0.112122,0.0333513,3.36185
70,PL,637,5,179,15,15,117,42,18,3,100,76,72,0,0,0,0,0,0,0,0,0,0,0,0,0.112522,0.0204541,5.50118
80,PL,597,5,199,17,6,91,32,13,10,101,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0.11435,0.0195064,5.86217
90,PL,514,5,172,10,17,91,35,13,4,78,55,39,0,0,0,0,0,0,0,0,0,0,0,0,0.113497,0.0185279,6.12572
100,PL,830,6,266,22,15,138,62,16,7,132,100,72,475,6,118,14,7,79,37,17,0,68,59,76,0.113492,0.0444904,2.55092
110,PL,703,6,215,19,14,128,51,15,9,110,69,73,0,0,0,0,0,0,0,0,0,0,0,0,0.112405,0.0219231,5.12723
120,PL,708,6,203,13,15,147,44,14,6,112,81,73,248,7,72,6,3,47,12,8,2,33,29,36,0.113391,0.0406454,2.78976
130,PL,604,5,180,13,15,100,38,19,4,99,66,70,0,0,0,0,0,0,0,0,0,0,0,0,0.112257,0.0196166,5.72256
140,PL,605,7,177,13,9,109,53,10,7,81,59,87,339,6,107,7,7,50,26,7,2,41,24,68,0.112325,0.0411869,2.72721
150,PL,674,5,219,20,19,115,39,24,3,101,71,63,0,0,0,0,0,0,0,0,0,0,0,0,0.1107,0.0193036,5.73469
160,PL,563,5,179,8,8,107,34,15,7,83,67,55,0,0,0,0,0,0,0,0,0,0,0,0,0.111392,0.0191116,5.82848
170,PL,696,5,206,24,9,127,55,17,1,119,86,52,395,8,138,12,5,48,18,7,3,62,44,58,0.111396,0.039335,2.83197
180,PL,799,8,263,19,10,142,47,19,9,111,114,65,395,7,114,6,3,63,19,11,2,57,44,76,0.111471,0.0429514,2.59528
190,PL,810,5,236,22,16,128,52,30,4,133,111,78,0,0,0,0,0,0,0,0,0,0,0,0,0.112213,0.0217127,5.16808
200,PL,728,6,201,26,13,127,39,28,3,107,84,100,306,6,56,10,2,40,17,10,2,38,37,94,0.111174,0.0428953,2.59175
210,PL,677,7,198,19,13,114,48,16,4,106,73,86,176,5,58,6,1,24,9,5,2,27,16,28,0.112083,0.0388603,2.88426
220,PL,863,6,265,19,19,140,59,26,8,121,111,95,0,0,0,0,0,0,0,0,0,0,0,0,0.111433,0.0250905,4.44125
230,PL,790,7,224,19,17,136,51,28,5,105,92,113,0,0,0,0,0,0,0,0,0,0,0,0,0.111842,0.0272447,4.1051
240,PL,740,7,247,22,12,110,50,21,3,98,79,98,283,6,75,6,6,38,28,11,1,34,33,51,0.111731,0.0426311,2.62087
250,PL,763,7,233,13,11,134,61,18,4,113,90,86,0,0,0,0,0,0,0,0,0,0,0,0,0.111616,0.0238143,4.68695
260,PL,667,5,217,15,11,120,51,18,3,86,89,57,0,0,0,0,0,0,0,0,0,0,0,0,0.113209,0.0189234,5.98252
270,PL,692,7,196,16,18,135,44,17,6,108,71,81,0,0,0,0,0,0,0,0,0,0,0,0,0.110647,0.0223794,4.94414
280,PL,638,5,178,10,11,129,51,21,4,90,73,71,299,5,71,6,2,50,19,9,4,49,38,51,0.111609,0.0402731,2.77131
290,PL,797,6,275,17,10,131,41,14,6,116,97,90,0,0,0,0,0,0,0,0,0,0,0,0,0.112925,0.0217153,5.20025
300,PL,785,6,234,15,12,139,54,18,8,139,91,75,272,5,81,5,7,53,12,5,1,40,31,37,0.113626,0.0382615,2.96971
