iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,OX,112,4,28,1,5,19,4,3,2,14,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0.00505058,0.0162595,0.310623
10,OX,282,8,49,11,9,64,5,5,13,26,23,77,0,0,0,0,0,0,0,0,0,0,0,0,0.00478891,0.0264009,0.181392
20,OX,176,7,37,1,9,43,4,6,13,11,11,41,0,0,0,0,0,0,0,0,0,0,0,0,0.00474907,0.0194766,0.243835
30,OX,162,5,26,2,5,45,6,13,5,16,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0.00471262,0.0170557,0.276308
40,OX,237,5,59,5,6,49,8,10,17,16,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0.0049318,0.0196244,0.25131
50,OX,150,6,30,2,0,31,2,6,4,9,13,53,0,0,0,0,0,0,0,0,0,0,0,0,0.00498559,0.0191108,0.260879
60,OX,293,7,68,8,8,58,15,12,14,25,12,73,0,0,0,0,0,0,0,0,0,0,0,0,0.00502707,0.0262433,0.191556
70,OX,206,5,42,11,5,43,11,6,4,17,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0.00471034,0.0174035,0.270656
80,OX,51,4,14,0,2,7,1,1,4,6,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0.000240782,0.0114633,0.0210046
90,OX,272,6,73,6,9,45,9,12,13,23,17,65,0,0,0,0,0,0,0,0,0,0,0,0,0.00481683,0.0229686,0.209714
100,OX,90,3,19,8,2,13,2,0,2,5,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0.00464945,0.0127349,0.365095
110,OX,154,5,30,1,6,33,2,4,9,16,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0.00457697,0.0189668,0.241315
120,OX,113,8,14,1,0,31,2,4,7,6,11,37,7,4,3,0,1,2,0,0,0,1,0,0,0.000229962,0.0310684,0.00740179
130,OX,206,8,49,1,4,41,2,9,9,15,13,63,0,0,0,0,0,0,0,0,0,0,0,0,0.0048599,0.0273734,0.177541
140,OX,113,5,39,1,3,18,6,5,5,6,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0.00465309,0.0180237,0.258165
150,OX,242,6,54,4,6,43,7,10,15,18,16,69,0,0,0,0,0,0,0,0,0,0,0,0,0.00456495,0.0266365,0.171379
