iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,GOX,324,11,101,14,10,35,16,5,12,26,21,84,0,0,0,0,0,0,0,0,0,0,0,0,0.00229245,0.0391637,0.058535
10,GOX,455,9,118,14,7,60,19,6,15,37,42,137,0,0,0,0,0,0,0,0,0,0,0,0,0.00209779,0.0429392,0.048855
20,GOX,446,9,116,6,9,46,28,7,25,27,25,157,1,3,0,0,0,0,0,0,0,0,1,0,0.00197103,0.058084,0.0339342
30,GOX,263,8,79,10,5,35,10,3,16,14,16,75,1,3,0,0,0,0,0,0,0,0,0,1,0.00216129,0.0416828,0.0518508
40,GOX,374,8,112,9,10,47,17,8,20,29,27,95,0,0,0,0,0,0,0,0,0,0,0,0,0.00203369,0.032638,0.0623106
50,GOX,230,7,84,5,2,37,14,7,10,13,11,47,0,0,0,0,0,0,0,0,0,0,0,0,0.00195638,0.0229787,0.0851388
60,GOX,163,6,57,9,4,15,10,2,16,13,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0.00205417,0.0214562,0.0957375
70,GOX,160,7,50,6,5,16,4,2,5,11,11,50,0,0,0,0,0,0,0,0,0,0,0,0,0.00188175,0.0275801,0.0682287
80,GOX,71,5,29,3,2,5,5,2,9,5,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0.00181219,0.0122314,0.148159
90,GOX,372,7,94,6,9,45,20,6,18,24,32,118,0,0,0,0,0,0,0,0,0,0,0,0,0.00217031,0.0361353,0.0600606
100,GOX,283,9,98,14,3,34,6,5,14,18,13,78,14,3,5,1,0,1,2,0,1,0,0,4,0.00194201,0.0470012,0.0413184
110,GOX,176,7,58,4,5,21,4,5,12,11,13,43,0,0,0,0,0,0,0,0,0,0,0,0,0.00204733,0.0243734,0.0839989
120,GOX,201,7,53,2,1,27,11,2,14,13,9,69,0,0,0,0,0,0,0,0,0,0,0,0,0.00189159,0.0287295,0.0658416
130,GOX,292,5,101,14,7,35,16,9,15,25,17,53,0,0,0,0,0,0,0,0,0,0,0,0,0.00199721,0.0224971,0.0887766
