iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,GrPX,266,5,68,19,11,45,9,6,13,34,15,46,5,3,1,0,0,2,0,1,0,0,0,1,0.000886036,0.022024,0.0402306
10,GrPX,337,7,99,14,11,45,9,7,14,43,36,59,21,3,5,1,2,4,0,0,1,1,3,4,0.000820896,0.022135,0.0370858
20,GrPX,231,5,71,14,6,27,8,3,10,37,24,31,3,3,1,0,0,0,0,0,1,1,0,0,0.000811346,0.0157277,0.0515871
30,GrPX,322,6,105,16,14,39,7,4,15,40,33,49,3,3,2,0,0,1,0,0,0,0,0,0,0.000808686,0.0194767,0.0415207
40,GrPX,323,6,119,12,16,39,8,5,16,42,24,42,7,3,1,0,0,1,0,1,0,1,0,3,0.000807216,0.0195671,0.0412537
50,GrPX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000780925,0.00605312,0.129012
60,GrPX,398,7,131,21,14,55,13,5,20,49,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0.000828336,0.0147019,0.0563422
70,GrPX,224,4,74,15,7,25,6,5,9,36,21,26,13,3,4,0,0,3,0,1,0,1,1,3,0.000822066,0.0157384,0.052233
80,GrPX,214,6,73,8,5,30,8,3,7,20,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0.000807876,0.0129263,0.0624986
90,GrPX,179,4,80,5,3,21,2,3,6,19,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0.000806786,0.00904911,0.0891564
100,GrPX,337,5,128,12,5,42,8,7,11,50,32,42,14,3,3,0,1,4,0,0,1,0,2,3,0.000828276,0.0199388,0.0415409
110,GrPX,442,5,150,23,12,58,13,15,14,66,50,41,0,0,0,0,0,0,0,0,0,0,0,0,0.000828056,0.0126991,0.0652061
120,GrPX,304,6,90,19,8,39,12,5,16,47,29,39,25,3,8,0,0,7,0,0,0,0,1,9,0.000810746,0.0201415,0.0402525
130,GrPX,280,4,114,15,12,34,7,1,5,35,25,32,6,3,3,0,0,0,0,0,1,1,0,1,0.000819296,0.0154928,0.0528824
140,GrPX,217,5,75,10,2,30,11,4,11,28,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0.000812756,0.00963262,0.0843754
150,GrPX,231,4,82,14,6,32,10,1,7,30,18,31,8,3,2,0,0,3,0,0,0,0,1,2,0.000813786,0.0172594,0.0471503
160,GrPX,258,6,109,9,11,32,3,1,2,30,23,38,17,4,4,0,0,5,1,0,0,1,2,4,0.000819196,0.0179125,0.0457333
170,GrPX,273,8,72,20,10,45,5,5,11,34,18,53,0,0,0,0,0,0,0,0,0,0,0,0,0.000808246,0.0150505,0.0537023
180,GrPX,210,5,83,8,8,20,3,1,11,26,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0.000818446,0.0116466,0.0702732
190,GrPX,311,5,100,12,14,37,8,8,9,40,36,47,0,0,0,0,0,0,0,0,0,0,0,0,0.000818606,0.0137055,0.0597283
200,GrPX,290,4,103,12,7,39,9,2,10,46,33,29,5,3,1,0,0,2,0,0,1,0,0,1,0.000829146,0.0173991,0.0476546
