iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,GOX,137,5,39,5,3,29,1,8,7,10,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00515704,0.0175253,0.294262
10,GOX,257,6,71,6,7,44,5,4,12,18,21,69,0,0,0,0,0,0,0,0,0,0,0,0,0.00470327,0.0275531,0.170698
20,GOX,238,6,40,6,3,46,8,13,14,20,25,63,0,0,0,0,0,0,0,0,0,0,0,0,0.00503139,0.0194512,0.258667
30,GOX,339,8,82,7,8,55,12,10,11,29,26,99,0,0,0,0,0,0,0,0,0,0,0,0,0.0046174,0.0278875,0.165572
40,GOX,238,7,68,6,7,39,6,9,10,13,13,67,0,0,0,0,0,0,0,0,0,0,0,0,0.004943,0.0239716,0.206202
50,GOX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000516814,0.0103945,0.0497201
60,GOX,138,5,34,6,2,20,5,7,5,14,16,29,204,6,44,4,2,36,7,5,4,11,6,85,0.00506906,0.0469952,0.107863
70,GOX,224,8,55,15,3,38,8,8,7,14,12,64,0,0,0,0,0,0,0,0,0,0,0,0,0.0046178,0.0276298,0.167131
80,GOX,203,4,55,5,5,33,6,8,9,19,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0.00462607,0.0163749,0.28251
90,GOX,312,9,75,3,9,70,8,14,8,20,20,85,0,0,0,0,0,0,0,0,0,0,0,0,0.00463011,0.0334833,0.138281
100,GOX,146,5,34,8,6,29,4,3,7,10,13,32,0,0,0,0,0,0,0,0,0,0,0,0,0.00465236,0.0177871,0.261558
110,GOX,159,5,31,4,5,35,3,5,3,10,7,56,0,0,0,0,0,0,0,0,0,0,0,0,0.00482768,0.024498,0.197064
120,GOX,189,6,46,8,5,44,10,2,6,13,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0.00497618,0.0205277,0.242413
130,GOX,100,4,25,3,4,22,2,5,8,10,6,15,42,6,3,0,2,4,1,1,1,3,1,26,0.00430081,0.0278285,0.154547
140,GOX,128,6,31,1,5,22,1,3,9,8,8,40,23,7,5,0,1,4,1,0,2,2,1,7,0.00453785,0.0326234,0.139098
150,GOX,198,5,40,6,4,45,2,8,4,19,16,54,0,0,0,0,0,0,0,0,0,0,0,0,0.00463466,0.023758,0.195078
160,GOX,134,4,43,8,0,27,5,4,8,5,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0.00489477,0.0167469,0.292278
170,GOX,153,5,46,6,3,26,2,11,1,16,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0.00478593,0.0190651,0.251031
180,GOX,236,6,48,8,1,51,5,5,11,19,16,72,55,7,6,0,1,7,0,4,3,4,2,28,0.00450101,0.043069,0.104507
190,GOX,175,4,41,4,3,39,5,2,8,17,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0.00453467,0.018392,0.246557
200,GOX,174,5,42,2,5,32,4,6,11,19,13,40,166,6,35,3,4,24,5,2,5,13,15,60,0.00434801,0.0434191,0.100141
210,GOX,206,5,61,5,7,30,7,6,14,19,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0.00459049,0.0233189,0.196857
220,GOX,48,4,13,3,3,9,1,2,2,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0.00501216,0.0131135,0.382213
230,GOX,144,7,34,6,11,30,2,4,6,13,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0.00436496,0.023017,0.189641
240,GOX,189,7,37,6,6,36,6,10,7,22,14,45,0,0,0,0,0,0,0,0,0,0,0,0,0.000405743,0.0235489,0.0172298
250,GOX,240,8,63,10,4,45,5,4,14,17,18,60,317,8,90,5,5,45,11,6,11,23,28,93,0.00477306,0.0512045,0.0932156
260,GOX,102,4,31,4,2,16,0,4,3,5,8,29,40,6,14,0,0,8,1,0,1,2,2,12,0.00452938,0.0307055,0.14751
270,GOX,144,6,42,4,2,31,8,3,7,4,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0.00459091,0.0265967,0.172612
280,GOX,59,3,18,0,2,11,4,4,3,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00413111,0.0131354,0.314503
290,GOX,193,6,50,2,1,44,1,4,6,15,11,59,95,5,19,5,5,13,6,1,4,6,3,33,0.00463698,0.0369296,0.125563
